client_id,interaction_rate,avg_keyword_word_count,device_usage_category,average_time_between_searches_days,unique_prd_category_count,purchase_activity_rate,avg_products_seen
000195,0.0,2.3389830508474576,desktop_only,0.32947804668218644,15,0.01694915254237288,14.666666666666666
0002b0,0.014285714285714285,3.9285714285714284,desktop_only,0.0002560269361111111,13,0.0,7.111111111111111
000973,0.007692307692307693,2.6153846153846154,desktop_only,0.04048188728689627,42,0.0,8.133333333333333
0013cd,0.023809523809523808,2.9642857142857144,desktop_only,0.2177956233475016,21,0.0,7.625
0017ab,0.0,4.0,desktop_only,1.1453135570747786,1,0.0,6.0
001a28,0.0,3.6923076923076925,mixed,0.5761999581915509,10,0.0,8.666666666666666
001acb,0.03184713375796178,1.624203821656051,mixed,0.05810123210282074,28,0.11464968152866242,8.6875
001b2c,0.0,1.1578947368421053,mixed,0.4558416907363215,11,0.10526315789473684,7.6
002012,0.0,1.0,mobile_or_tablet_only,0.001523045427414021,1,0.0,9.0
00237e,0.004347826086956522,2.347826086956522,desktop_only,0.024884638286045535,71,0.002173913043478261,9.944444444444445
0025c0,0.01263157894736842,1.9399043062200958,mixed,0.005221004875843376,372,0.0040191387559808615,11.37007874015748
0028ca,0.0,3.142857142857143,mixed,0.20328395872479973,3,0.14285714285714285,10.5
002b47,0.1111111111111111,2.0,desktop_only,0.48146936292223935,2,0.0,9.0
002b65,0.0,3.0,desktop_only,4.225498856148727,1,0.0,7.0
003076,0.0,1.5416666666666667,mixed,0.2127682217905093,16,0.0,8.875
003227,0.015151515151515152,2.98989898989899,desktop_only,1.0126302633746695,37,0.030303030303030304,7.7894736842105265
003269,0.0,1.6428571428571428,desktop_only,0.12152676288711937,11,0.023809523809523808,14.0
0033cd,0.006211180124223602,2.1739130434782608,desktop_only,0.289070577251292,48,0.012422360248447204,8.235294117647058
00365d,0.0,2.230769230769231,desktop_only,0.11842842051435185,4,0.0,8.666666666666666
003870,0.004424778761061947,1.9336283185840708,desktop_only,1.8327615905876067,40,0.0,11.785714285714286
003b7b,0.006944444444444444,1.2777777777777777,desktop_only,0.1337345031710194,22,0.020833333333333332,8.285714285714286
003cc8,0.0,1.6436781609195403,desktop_only,0.2567702462222015,25,0.011494252873563218,7.7
003ce2,0.0,2.7281553398058254,desktop_only,0.1659244538865872,25,0.0,7.363636363636363
003e3a,0.0,2.4545454545454546,mixed,0.15525545926184728,12,0.06818181818181818,10.666666666666666
00423d,0.015873015873015872,3.3492063492063493,desktop_only,0.3286975170399672,10,0.015873015873015872,9.333333333333334
004240,0.0,2.2413793103448274,desktop_only,0.23212414673239087,3,0.034482758620689655,7.0
00464a,0.0,1.352112676056338,desktop_only,0.4189058543629115,22,0.014084507042253521,9.285714285714286
0047f0,0.0,1.0,mixed,0.7251920750119248,4,0.0,9.0
004e70,0.0,2.0,desktop_only,0.21122861092026562,7,0.0,37.0
0051d6,0.0,4.269230769230769,desktop_only,0.7911260170228909,9,0.0,8.666666666666666
005564,0.0,2.0,desktop_only,0.4227143643234767,14,0.030303030303030304,8.25
005f76,0.0,2.0,desktop_only,0.15534526837809914,12,0.0,14.0
006269,0.0,1.0,desktop_only,0.004633940459770114,1,0.125,8.0
006279,0.0,3.4363636363636365,desktop_only,0.00038375593379629626,11,0.0,7.857142857142857
00670f,0.004889975550122249,2.393643031784841,desktop_only,1.2713021931450617,63,0.039119804400977995,8.852941176470589
00696a,0.03225806451612903,1.8516129032258064,mixed,0.2756643318581465,42,0.07096774193548387,7.944444444444445
006d97,0.041666666666666664,1.0,desktop_only,0.04252325922644927,5,0.0,8.6
007020,0.02,1.72,desktop_only,0.08973117257171638,18,0.1,8.333333333333334
007368,0.0,3.0,desktop_only,0.7471442077920228,15,0.0,8.6
0073e2,0.16666666666666666,2.0,mixed,0.3452039074212072,2,0.0,6.0
00745e,0.0079155672823219,2.0356200527704487,desktop_only,0.17322848093607304,113,0.00395778364116095,9.513513513513514
007542,0.012658227848101266,3.1645569620253164,mixed,0.3868007079009972,16,0.27848101265822783,8.25
007cc8,0.058823529411764705,1.588235294117647,desktop_only,0.11442666843532442,5,0.058823529411764705,8.5
007e63,0.008221225710014948,3.212257100149477,desktop_only,0.047444644599929066,161,0.0,8.698529411764707
008326,0.0,2.2857142857142856,desktop_only,0.08813569000339788,7,0.0,11.25
008442,0.005309734513274336,2.102654867256637,desktop_only,0.00025890594158496736,89,0.0,8.963636363636363
008496,0.0,1.4,desktop_only,0.6853690124342382,3,0.26666666666666666,7.5
008ba8,0.02127659574468085,2.351063829787234,desktop_only,0.021694580449464155,20,0.0,9.5
008c5d,0.0,2.0,desktop_only,0.08672962288133529,1,0.0,7.0
00920d,0.0,2.646017699115044,desktop_only,0.06342533277110238,10,0.0,8.7
009365,0.023255813953488372,1.5116279069767442,desktop_only,0.17607430091716111,11,0.09302325581395349,11.666666666666666
009464,0.0,2.606060606060606,desktop_only,0.2474926553897792,14,0.0,6.6
0095fd,0.0,2.0,desktop_only,0.06399317069155093,2,0.043478260869565216,8.0
009a45,0.004301075268817204,2.1053763440860216,mixed,1.1895964187893517,85,0.015053763440860216,11.333333333333334
009f8d,0.018867924528301886,4.547169811320755,desktop_only,0.15689300044603746,4,0.0,10.333333333333334
00a297,0.0136986301369863,1.9726027397260273,desktop_only,0.13681211288517578,13,0.0,9.125
00a4e1,0.008130081300813009,2.3089430894308944,desktop_only,0.30208479535556626,22,0.0,9.5
00a6a3,0.0,3.0,desktop_only,0.47727663964313266,2,0.2,10.0
00a705,0.0,2.851063829787234,desktop_only,0.02315869668566493,18,0.05319148936170213,9.333333333333334
00aace,0.008160703075957313,2.3314500941619585,desktop_only,0.08894216420173963,176,0.0,10.488
00b061,0.011933174224343675,2.0620525059665873,desktop_only,0.5510183529773716,67,0.016706443914081145,8.268292682926829
00b352,0.0,2.723684210526316,desktop_only,0.23422174613447555,17,0.0,12.666666666666666
00b527,0.0,1.9316239316239316,desktop_only,0.15823952000711433,17,0.0,19.25
00bc28,0.012552301255230125,2.213389121338912,desktop_only,0.14818715910530356,41,0.0041841004184100415,13.0
00cd0e,0.0,1.7777777777777777,desktop_only,0.017518764462325347,5,0.0,9.0
00d356,0.0,1.2580645161290323,desktop_only,0.034434571153233604,5,0.03225806451612903,7.666666666666667
00d498,0.011811023622047244,3.031496062992126,desktop_only,0.05164417554708168,62,0.015748031496062992,8.846153846153847
00d735,0.14285714285714285,3.2857142857142856,desktop_only,0.18884250107994133,6,0.09523809523809523,7.0
00de7d,0.00847457627118644,2.7542372881355934,mixed,0.07974251116319445,40,0.0,9.666666666666666
00dec8,0.009523809523809525,2.1904761904761907,desktop_only,0.10478836065248844,17,0.0,10.142857142857142
00df16,0.012903225806451613,3.3483870967741933,desktop_only,0.25774409903697504,12,0.0064516129032258064,16.2
00e064,0.0,2.4404761904761907,desktop_only,0.10158208479324872,18,0.0,8.428571428571429
00e3d9,0.008403361344537815,2.142857142857143,mixed,0.11788544087745097,46,0.037815126050420166,8.5
00e4d0,0.0,1.6904761904761905,desktop_only,0.0,13,0.0,9.5
00ed79,0.0,2.185567010309278,mixed,0.08212208066331297,43,0.010309278350515464,9.0
00ee84,0.0,1.0,desktop_only,0.18254139054039514,2,0.0,8.0
00f09d,0.0,2.0,desktop_only,0.09605811467076836,3,0.08333333333333333,6.0
00f1fc,0.00980392156862745,1.4264705882352942,desktop_only,0.5904221752799479,57,0.0196078431372549,11.692307692307692
00f2a6,0.01349527665317139,1.9946018893387314,desktop_only,0.03765027186116501,217,0.0155195681511471,8.733812949640289
00fd31,0.0,2.0,desktop_only,0.1726236516007716,9,0.037037037037037035,6.75
010026,0.0,2.0193050193050195,desktop_only,0.07008295300291893,41,0.0,13.88888888888889
010143,0.005277044854881266,2.005277044854881,desktop_only,1.1867930434953704,57,0.010554089709762533,8.4375
010ac4,0.008928571428571428,2.2232142857142856,desktop_only,0.24581199921119143,43,0.004464285714285714,8.578947368421053
010e86,0.0,3.2008196721311477,desktop_only,0.028968708109916867,53,0.01639344262295082,9.55
011129,0.0,2.073170731707317,mixed,0.018270614039679625,15,0.0,8.2
01134a,0.015873015873015872,2.1904761904761907,desktop_only,0.5239692049381613,10,0.031746031746031744,7.875
01154c,0.0022727272727272726,1.915909090909091,desktop_only,0.050032910619683686,61,0.0,9.533333333333333
01155e,0.0,5.636363636363637,desktop_only,0.03606354930382872,4,0.0,7.5
01160b,0.0,3.0,desktop_only,0.005168452644675927,3,0.08333333333333333,6.0
011bd8,0.020833333333333332,3.75,desktop_only,0.14890296628368055,15,0.020833333333333332,8.0
011dfe,0.026217228464419477,2.51310861423221,desktop_only,0.11864070665156777,44,0.00749063670411985,8.565217391304348
012118,0.017857142857142856,1.6785714285714286,desktop_only,1.1082283667728463,24,0.05357142857142857,9.333333333333334
012411,0.02631578947368421,1.5402476780185759,desktop_only,0.42829495870298034,73,0.043343653250773995,9.456140350877194
01247f,0.014367816091954023,1.7801724137931034,mixed,0.06405700760223323,112,0.011494252873563218,9.516666666666667
012bab,0.0,2.2941176470588234,desktop_only,0.21501606525793648,10,0.0,8.375
012dfc,0.03571428571428571,1.8214285714285714,desktop_only,0.36052647189236103,10,0.0,7.0
012e52,0.0,2.8378378378378377,desktop_only,0.00019485384259259258,13,0.0,9.285714285714286
01325f,0.017937219730941704,2.3542600896860986,mixed,0.39166290975761536,63,0.008968609865470852,9.142857142857142
0133ec,0.0136986301369863,2.5753424657534247,desktop_only,0.0,26,0.0,10.2
013544,0.005263157894736842,2.4894736842105263,desktop_only,0.03559198787513284,90,0.014035087719298246,9.083333333333334
0139f7,0.0,1.0,desktop_only,0.19402374131209335,5,0.043478260869565216,8.0
013b60,0.045454545454545456,2.1818181818181817,desktop_only,0.02840628746285377,3,0.09090909090909091,7.333333333333333
013bb7,0.0,1.0,desktop_only,0.05017678855088195,2,0.23529411764705882,11.0
013c04,0.010071942446043165,2.7237410071942447,desktop_only,0.21464524538601984,107,0.0,9.098591549295774
0144e8,0.0,1.9142857142857144,desktop_only,0.45414791608247024,12,0.014285714285714285,10.333333333333334
014a04,0.0,3.0,desktop_only,0.0009310924067982456,1,0.1111111111111111,9.0
014d9a,0.025,3.725,desktop_only,0.0735310240777215,12,0.0,8.0
01527b,0.012048192771084338,2.317269076305221,desktop_only,0.13618541410417864,35,0.0,8.7
0155cf,0.017391304347826087,1.5565217391304347,desktop_only,0.06938916003549193,26,0.0,11.5
01598b,0.06884057971014493,1.9746376811594204,desktop_only,0.09070312760053842,64,0.036231884057971016,8.375
016548,0.008771929824561403,2.18859649122807,desktop_only,0.1198767037309028,40,0.0043859649122807015,9.444444444444445
016860,0.0,1.7904761904761906,desktop_only,0.08138544392236323,12,0.0,12.333333333333334
016999,0.013986013986013986,1.5244755244755244,desktop_only,0.02351334435727182,18,0.006993006993006993,11.2
016f6a,0.0,3.264705882352941,desktop_only,0.0001803076388888889,25,0.20588235294117646,6.8
017015,0.0,2.8,desktop_only,0.13019746790354939,4,0.0,10.0
017046,0.0,3.326241134751773,desktop_only,0.27314427448148143,16,0.0,9.5
01706f,0.008522727272727272,2.1051136363636362,desktop_only,0.13001985677972222,114,0.003787878787878788,9.927710843373495
01718a,0.006944444444444444,1.837962962962963,desktop_only,0.10214136384208936,69,0.03935185185185185,12.655172413793103
017ae1,0.0,1.9047619047619047,desktop_only,0.13825402945825108,14,0.031746031746031744,9.0
017e4f,0.0,2.4507042253521125,desktop_only,0.0,11,0.0,8.571428571428571
017e85,0.0,2.2540983606557377,desktop_only,0.687988409453125,8,0.00819672131147541,14.8
0183af,0.006711409395973154,1.9664429530201342,mixed,0.05105608587767689,27,0.013422818791946308,10.333333333333334
018404,0.004561003420752566,2.1630558722919044,desktop_only,0.1244837848822832,113,0.004561003420752566,9.493333333333334
0185d8,0.01238390092879257,2.5727554179566563,mixed,0.1391734284017361,53,0.021671826625386997,9.34375
018865,0.015384615384615385,2.076923076923077,mixed,0.29897751402491407,19,0.06153846153846154,7.222222222222222
018a89,0.003787878787878788,2.3295454545454546,desktop_only,0.054281586027752016,33,0.007575757575757576,13.533333333333333
018cbe,0.004273504273504274,2.4316239316239314,desktop_only,0.6142212821344286,45,0.008547008547008548,10.833333333333334
018d87,0.018518518518518517,2.0046296296296298,desktop_only,0.1052666535181708,22,0.0,13.2
019101,0.0,2.0,desktop_only,0.030763948883503898,2,0.0,6.0
019338,0.0025974025974025974,1.9896103896103896,desktop_only,0.03863849232848774,67,0.005194805194805195,10.088235294117647
019ced,0.0,1.6063829787234043,desktop_only,0.18215216527632194,13,0.0,14.166666666666666
019d32,0.005988023952095809,4.610778443113772,desktop_only,0.1893379812801753,35,0.0029940119760479044,9.814814814814815
019ff3,0.0,3.3333333333333335,desktop_only,0.34183159615369774,9,0.0,6.0
01a013,0.005141388174807198,1.9948586118251928,desktop_only,0.09110509574265066,73,0.002570694087403599,9.625
01a131,0.0,2.5625,desktop_only,0.025115179342302684,3,0.0,8.0
01a346,0.0,1.6,desktop_only,0.05910555598683211,4,0.0,8.333333333333334
01a398,0.006144393241167435,2.162826420890937,desktop_only,0.09882644750108883,130,0.009216589861751152,11.936170212765957
01a419,0.0,2.1265822784810124,desktop_only,0.12024602012312846,21,0.0,7.625
